Sentence	Label
Mi piacerebbe sapere cosa fare per tenere la pressione sotto controllo	spiegazioni
La mia pressione sanguigna oggi è X/Y.	inserDatiPress
Potresti mostrarmi i miei dati più recenti?	richiestaStatsGener
Ultimo dato inserito sulla frequenza 	richiestaStatsFreq
la mia pressione sanguigna è 135/85 e la mia frequenza cardiaca è 72.	inserDatiTot
Ho fatto le analisi del sangue e ho il valore X fuori range	fuoriContMed
Ho male alla gamba	fuoriContMed
Desidero visualizzare i miei dati sulla frequenza cardiaca degli ultimi sette giorni.	richiestaStatsFreq
Mi piacerebbe esaminare i dati sulla frequenza cardiaca che ho registrato nell’ultimo mese.	richiestaStatsFreq
la mia pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
Desidero consultare le mie letture della pressione dell’ultimo mese.	richiestaStatsPress
come il colesterolo può influenzare l’ipertensione?	spiegazioni
Potrei vedere tutte le misurazioni della frequenza cardiaca che ho registrato?	richiestaStatsFreq
Vorrei rivedere le letture che ho inserito nelle 4 settimane precedenti.	richiestaStatsGener
posso aggiungere i dati della mia pressione sanguigna di questa mattina?	richiestaInsDati
Mi piacerebbe esaminare tutti i dati sulla frequenza  che ho registrato.	richiestaStatsFreq
Ultima misurazione	richiestaStatsGener
posso aggiungere i dati della mia pressione sanguigna di domani?	richiestaInsDati
il mio battito cardiaco è 70 battiti al minuto.	inserDatiFreq
quale è la tua canzone preferita al momento?	fuoriCont
Vorrei rivedere tutti i dati sulla pressione che ho inserito.	richiestaStatsPress
Buonanotte, assistente! Grazie per avermi aiutato a capire meglio la mia ipertensione.	saluti
come la gravidanza può influenzare la mia tiroide?	fuoriContMed
sono molto calmo riguardo alla mia ipertensione.	pazienteSereno
Buon pomeriggio, assistente! Spero che tu possa aiutarmi a monitorare la mia ipertensione.	saluti
Hai mai visitato il Grand Canyon?	fuoriCont
Vorrei vedere le letture della pressione che ho registrato nell’ultima settimana.	richiestaStatsPress
Arrivederci, assistente! Grazie per avermi aiutato a gestire la mia ipertensione oggi.	saluti
La mia pressione sanguigna è 130/80 e il mio battito cardiaco è 70.	inserDatiTot
Sto cercando di ridurre lo stress attraverso tecniche di rilassamento come lo yoga e la meditazione.	inserDatiGener
Ho avuto un po’ di affanno dopo una breve passeggiata, dovrei preoccuparmi?	pazienAllarmato
Ho iniziato una nuova dieta ricca di fibre.	inserDatiGener
Voglio annotare le mie recenti letture della pressione sanguigna.	richiestaInsDati
Potresti mostrarmi con un immagine le misurazioni della frequenza cardiaca dell’ultima settimana?	richiestaStatsFreq
La mia pressione oggi è 120/80 e la mia frequenza cardiaca è 72.	inserDatiTot
vorrei aggiungere i dettagli sulla mia alimentazione.	richiestaInsDati
Desidero visualizzare i miei dati più recenti.	richiestaStatsGener
la mia frequenza cardiaca oggi è 72 battiti al minuto.	inserDatiFreq
Ho iniziato a fare esercizio fisico regolarmente.	inserDatiGener
Ciao, assistente! Spero che tu possa darmi qualche suggerimento su come gestire la mia ipertensione.	saluti
La mia pressione sanguigna è 120/80.	inserDatiPress
non sono stressato per la mia pressione alta.	pazienteSereno
Ricordami l'ultima misurazione	richiestaStatsGener
sono molto preoccupato per i miei livelli di pressione sanguigna.	pazienAllarmato
la mia pressione sanguigna è 130/85.	inserDatiPress
Avendo sotto controllo i miei dati mi sento inarrestabile.	pazienteSereno
quale è il tuo parco nazionale preferito?	fuoriCont
sono molto tranquillo riguardo alla mia pressione alta.	pazienteSereno
Vorrei vedere tutte le misurazioni che ho inserito.	richiestaStatsGener
a presto, assistente! spero che tu possa continuare ad aiutarmi a gestire la mia ipertensione.	saluti
Sono molto tranquillo riguardo alla mia pressione alta.	pazienteSereno
Quali sono le opzioni di trattamento farmacologico per l’ipertensione?	spiegazioni
come il clima può influenzare la mia artrite?	fuoriContMed
Buongiorno, tutto bene?	saluti
Frequenza cardiaca di 100	inserDatiFreq
Vorrei vedere tutte le letture della frequenza cardiaca che ho registrato.	richiestaStatsFreq
qual è il tuo periodo storico preferito?	fuoriCont
che tipo di musica ti piace ascoltare?	fuoriCont
ciao, assistente! sono pronto per un altro giorno di sfide con la mia ipertensione.	saluti
mi sento molto tranquillo riguardo alla mia pressione alta.	pazienteSereno
cosa causa l’ipertensione?	spiegazioni
Non ho paura della mia ipertensione.	pazienteSereno
non ho ansia per la mia pressione alta.	pazienteSereno
quale è la tua band preferita?	fuoriCont
Sto cercando di consumare più frutta e verdura per mantenere una dieta equilibrata.	inserDatiGener
Ho notato che la mia pressione sanguigna e frequenza cardiaca sono di 135/80 mmHg e 73 bpm.	inserDatiTot
Dopo un trauma quanto tempo dovrei riposare?	fuoriContMed
il mio battito cardiaco è 70 battiti al minuto.	inserDatiFreq
Quali sono i sintomi della depressione?	fuoriContMed
Mi piacerebbe esaminare il dato più recente sulla frequenza che ho registrato.	richiestaStatsFreq
Mi sento molto bene oggi, la mia pressione sanguigna è stabile.	pazienteSereno
Ho notato che la mia pressione sanguigna aumenta quando sono stressato.	inserDatiGener
La mia pressione sanguigna più recente è di 120/70 mmHg.	inserDatiPress
Ho appena controllato, la mia pressione è 140/85.	inserDatiPress
sono molto preoccupato per la mia ipertensione.	pazienAllarmato
ho notato che la mia pressione sanguigna scende quando dormo bene.	inserDatiGener
posso registrare la mia frequenza cardiaca di oggi?	richiestaInsDati
Ho appena misurato la mia frequenza cardiaca, è 75 battiti al minuto.	inserDatiFreq
la mia pressione sanguigna attuale è 125/80.	inserDatiPress
Potresti mostrarmi tutte le mie misurazioni della frequenza cardiaca?	richiestaStatsFreq
La mia pressione sanguigna è X/Y e il mio battito cardiaco è 75.	inserDatiTot
ho avuto un episodio di palpitazioni ieri.	inserDatiGener
quali sono i trattamenti disponibili per l’artrite?	fuoriContMed
Fornisci tutte le mie misurazioni sulla frequenza cardiaca?	richiestaStatsFreq
Qual è il tuo periodo storico preferito?	fuoriCont
Desidero visualizzare il mio dato più recente sulla frequenza cardiaca.	richiestaStatsFreq
sono molto stressato a causa della mia ipertensione.	pazienAllarmato
ho notato che il mio livello di stress è aumentato ultimamente.	inserDatiGener
Dammi i dati della frequenza cardiaca nell’ultima settimana	richiestaStatsFreq
Ho tutti i dolori del mondo	fuoriContMed
come l’ambiente può influenzare l’ipertensione?	spiegazioni
Quali sono le mie misurazioni della frequenza cardiaca dell’ultimo mese?	richiestaStatsFreq
Dammi i dati della frequenza cardiaca nell’ultimo mese	richiestaStatsFreq
la mia pressione sanguigna è 130/80 e il mio battito cardiaco è 70.	inserDatiTot
Qual è stata l'ultima misurazione sulla frequenza cardiaca?	richiestaStatsFreq
Mi piacerebbe controllare tutte le letture della frequenza cardiaca che ho registrato.	richiestaStatsFreq
Dammi le misurazioni della settimana in un grafico	richiestaStatsGener
buongiorno, assistente! sono pronto per affrontare la mia ipertensione con il tuo aiuto.	saluti
come la genetica può influenzare l’ipertensione?	spiegazioni
ho notato che la mia pressione sanguigna scende quando mi rilasso.	inserDatiGener
Mi piacerebbe esaminare i dati più recenti sulla pressione che ho registrato.	richiestaStatsPress
Forniscimi i dati della pressione sanguigna?	richiestaStatsPress
la mia pressione sanguigna è 140/90 e il mio battito cardiaco è 75.	inserDatiTot
sono molto preoccupato per la mia ipertensione.	pazienAllarmato
Ecco i miei dati di oggi: la mia pressione sanguigna è 135/85 e la mia frequenza cardiaca è 72.	inserDatiTot
Desidero visualizzare tutte le mie letture registrate.	richiestaStatsGener
Vorrei vedere le misurazioni che ho registrato nell’ultima settimana.	richiestaStatsGener
Buongiorno, assistente! Spero che tu sia pronto ad aiutarmi a gestire la mia ipertensione oggi.	saluti
come posso prevenire le malattie cardiache?	fuoriContMed
posso registrare i dati della mia frequenza cardiaca del prossimo anno?	richiestaInsDati
ho avuto un episodio di vertigini questa mattina.	inserDatiGener
ho smesso di bere tè nero da due settimane.	inserDatiGener
quale è il tuo genere di film preferito?	fuoriCont
Ho notato che la mia pressione sanguigna scende quando sono felice.	inserDatiGener
Mostrami con un immagine i valori sulla mia pressione?	richiestaStatsPress
Sono Sara e ho 15 anni 	inserDatiGener
la mia frequenza cardiaca è 68 battiti al minuto.	inserDatiFreq
Quali sono i dati della pressione sanguigna dell’ultimo mese?	richiestaStatsPress
Vorrei rivedere l’ultimo dato sulla frequenza che ho inserito.	richiestaStatsFreq
Potrei vedere le misurazioni che ho registrato nell’ultima settimana?	richiestaStatsGener
Mi piacerebbe esaminare i dati più recenti che ho registrato.	richiestaStatsGener
buonasera, assistente! spero che tu possa darmi qualche consiglio su come rilassarmi per gestire la mia ipertensione.	saluti
Potresti mostrarmi le mie misurazioni della frequenza cardiaca dell’ultima settimana?	richiestaStatsFreq
Quali cambiamenti nello stile di vita posso fare per gestire il mio colesterolo alto?	fuoriContMed
come l’esercizio fisico può aiutare a gestire l’ipertensione?	spiegazioni
Potresti mostrarmi le mie letture dell’ultima settimana?	richiestaStatsGener
La mia pressione oggi è 120/80.	inserDatiPress
il mio battito cardiaco è 75 battiti al minuto.	inserDatiFreq
come posso prevenire l’ipertensione?	spiegazioni
Vorrei dare un’occhiata alle letture che ho inserito negli ultimi 7 giorni.	richiestaStatsGener
la mia pressione sanguigna è 135/85.	inserDatiPress
Buonasera, assistente! Spero che tu possa aiutarmi a capire meglio la mia ipertensione.	saluti
Ho appena controllato e la mia frequenza cardiaca è di 69 bpm.	inserDatiFreq
hai mai provato a fare immersioni?	fuoriCont
Alla prossima, assistente! Non vedo l’ora di continuare a lavorare con te sulla mia ipertensione.	saluti
Non ricordo le statistiche degli ultimi sette giorni 	richiestaStatsGener
Hai mai pensato di fare un viaggio in mongolfiera?	fuoriCont
come la razza può influenzare l’ipertensione?	spiegazioni
Potresti mostrarmi tutti i miei dati?	richiestaStatsGener
Posso registrare la mia frequenza cardiaca di oggi?	richiestaInsDati
La mia pressione sanguigna e frequenza cardiaca attuali sono di 140/85 mmHg e 74 bpm.	inserDatiTot
Qual è la mia ultima statistica registrata?	richiestaStatsGener
la mia pressione sanguigna è 140/90.	inserDatiPress
il mio battito cardiaco è 80 battiti al minuto.	inserDatiFreq
la mia frequenza cardiaca è 72 battiti al minuto.	inserDatiFreq
la mia pressione sanguigna è 130/80.	inserDatiPress
Si è rotto il ginocchio	fuoriContMed
78 125	inserDatiPress
Potresti mostrarmi le mie ultime misurazioni della pressione?	richiestaStatsPress
Hola	saluti
Ho misurato i miei dati: sistolica 120, diastolica 80 e frequenza cardiaca 75	inserDatiTot
Oggi è freddo e la temperatura è di 10 gradi	fuoriCont
la mia frequenza cardiaca è 68 battiti al minuto.	inserDatiFreq
Voglio un riassunto di tutte le mie statistiche?	richiestaStatsGener
Quali sono le opzioni di trattamento farmacologico per l’ipertensione?	spiegazioni
Desidero consultare le mie letture più recenti.	richiestaStatsGener
buonasera, assistente! sono pronto per rilassarmi e riflettere sulla mia giornata con l’ipertensione.	saluti
Buongiorno, assistente! Spero tu possa darmi qualche consiglio sulla mia ipertensione oggi.	saluti
come il sesso può influenzare l’ipertensione?	spiegazioni
Potrei vedere le ultime misurazioni della frequenza che ho registrato nell’ultimo mese?	richiestaStatsFreq
non ho paura della mia pressione alta.	pazienteSereno
Ho accompagnato i miei figli a scuola.	fuoriCont
La mia pressione oggi è 130/90 e la mia frequenza cardiaca è 90 bpm.	inserDatiTot
 ultima misurazione della frequenza cardiaca	richiestaStatsFreq
La mia pressione sanguigna è 130/85.	inserDatiPress
Hai mai provato a fare yoga?	fuoriCont
Potrei vedere le ultime misurazioni della pressione che ho registrato nell’ultimo mese?	richiestaStatsPress
Qual è la mia ultima misurazione della pressione?	richiestaStatsPress
ho smesso di bere alcol da due settimane.	inserDatiGener
la mia pressione sanguigna è 135/85 e la mia frequenza cardiaca è 72.	inserDatiTot
come la gravidanza può influenzare l’ipertensione?	spiegazioni
Vorrei vedere le misurazioni più recenti che ho registrato.	richiestaStatsGener
sono molto ansioso per la mia ipertensione.	pazienAllarmato
Mi sento un po’ stanco e ho notato che la mia pressione sanguigna è più alta del solito.	pazienAllarmato
Desidero consultare la mia ultima lettura del battito cardiaco.	richiestaStatsFreq
Potresti mostrarmi le mie misurazioni della pressione dell’ultima settimana?	richiestaStatsPress
Quali sono le mie statistiche relative all’ultimo mese?	richiestaStatsGener
posso inserire i dati della mia pressione sanguigna di questo mese?	richiestaInsDati
Ho notato che la mia pressione sanguigna è di 135/80 mmHg.	inserDatiPress
posso inserire le mie ultime misurazioni?	richiestaInsDati
Mi sento un po’ debole e la mia pressione sanguigna è alta, dovrei andare al pronto soccorso?	pazienAllarmato
Voglio i dati della frequenza cardiaca dell’ultimo mese	richiestaStatsFreq
Ho appena fatto un controllo, la mia pressione è 135/85.	inserDatiPress
Qual è un buon stile di vita che abbassa il rischio di sviluppare ipertensione?	spiegazioni
Mostrami tutte le mie misurazioni della pressione arteriosa?	richiestaStatsPress
ho paura che la mia pressione alta possa causare problemi di appetito.	pazienAllarmato
ho avuto un episodio di sudorazione eccessiva la scorsa notte.	inserDatiGener
Hai mai provato a fare paracadutismo?	fuoriCont
Quali sono i dati delle ultime quattro settimane?	richiestaStatsGener
posso aggiungere i dati della mia pressione sanguigna di quest’anno?	richiestaInsDati
Ue, assistente! Spero tu possa darmi qualche suggerimento su come gestire la mia ipertensione.	saluti
non sono stressato per la mia ipertensione.	pazienteSereno
Mi si è rotta l'auto, cosa posso fare?	fuoriCont
arrivederci, assistente! sono grato per il tuo aiuto nel mio viaggio con l’ipertensione.	saluti
Come viene diagnosticata l’ipertensione?	spiegazioni
ho paura che la mia pressione alta possa causare problemi di sonno.	pazienAllarmato
Sono molto pacifico riguardo alla mia ipertensione.	pazienteSereno
Mi sento in forma, ho fatto esercizio fisico regolarmente questa settimana.	pazienteSereno
Ho bisogno di aiuto urgentemente	pazienAllarmato
la mia pressione sanguigna è 140/90 e il mio battito cardiaco è 75.	inserDatiTot
come la razza può influenzare il mio rischio di malattie cardiache?	fuoriContMed
Buongiorno, mi annoio	saluti
la mia frequenza cardiaca è 72 battiti al minuto.	inserDatiFreq
Vorrei rivedere i dati sulla pressione che ho inserito nell’ultimo mese.	richiestaStatsPress
Desidero visualizzare i miei dati sulla pressione dell’ultima settimana.	richiestaStatsPress
La mia pressione sanguigna è 125/80.	inserDatiPress
sono molto tranquillo riguardo alla mia ipertensione.	pazienteSereno
ciao, assistente! spero che tu possa darmi qualche suggerimento su come gestire la mia ipertensione.	saluti
Potrei vedere le ultime misurazioni della pressione che ho registrato nell’ultima settimana?	richiestaStatsPress
come l’esercizio fisico può aiutare a gestire il mio diabete?	fuoriContMed
Desidero consultare i dati delle ultime 4 settimane	richiestaStatsGener
la mia frequenza cardiaca è 72 battiti al minuto.	inserDatiFreq
come la menopausa può influenzare il mio peso?	fuoriContMed
La mia frequenza cardiaca più recente è di 71 bpm.	inserDatiFreq
la mia pressione sanguigna è 120/80 e il mio battito cardiaco è 70.	inserDatiTot
ho paura che la mia ipertensione possa causare problemi di respirazione.	pazienAllarmato
Quali sono le mie misurazioni della pressione dell’ultimo mese?	richiestaStatsPress
non sono preoccupato per la mia ipertensione.	pazienteSereno
Ho iniziato una nuova dieta povera di zuccheri.	inserDatiGener
Ho smesso di fumare da un anno per migliorare la mia salute cardiovascolare.	inserDatiGener
Sono riuscito a fare una lunga passeggiata oggi senza affaticarmi.	pazienteSereno
Vorrei dare un’occhiata alle misurazioni che ho fatto nell’ultimo mese.	richiestaStatsGener
la mia pressione sanguigna è 130/85 e il mio battito cardiaco è 70.	inserDatiTot
La mia pressione sanguigna attuale è 125/80.	inserDatiPress
la mia pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
La mia ultima lettura della pressione sanguigna e della frequenza cardiaca era di 130/85 mmHg e 68 bpm.	inserDatiTot
Mi sento molto rilassato e la mia pressione sanguigna è ottima.	pazienteSereno
120 78	inserDatiPress
Dammi il grafico con andamento di pressione arteriosa nell'ultimo mese	richiestaStatsPress
ho appena controllato, la mia pressione è 140/85 e la mia frequenza cardiaca è 75.	inserDatiTot
sono molto pacifico riguardo alla mia ipertensione.	pazienteSereno
ho iniziato a meditare per aiutare a gestire lo stress.	inserDatiGener
Hai mai provato a fare surf?	fuoriCont
come posso gestire il mio diabete?	fuoriContMed
Mi piacerebbe aggiornare il mio registro sanitario con le mie ultime letture della pressione arteriosa.	richiestaInsDati
Vorrei rivedere tutti i dati sulla frequenza  che ho inserito.	richiestaStatsFreq
Fortunatamente mi sento stabile.	pazienteSereno
Potrei controllare le ultime misurazioni della pressione che ho registrato nell’ultima settimana?	richiestaStatsPress
Quali sono i fattori di rischio per l’osteoporosi?	fuoriContMed
come l’età può influenzare l’ipertensione?	spiegazioni
Non ricordo la traccia dei dati nell'ultimo mese	richiestaStatsGener
ho iniziato una nuova dieta ricca di fibre.	inserDatiGener
come una dieta sana può aiutare a gestire l’ipertensione?	spiegazioni
Non mi sento molto bene, la mia frequenza cardiaca è più alta del solito.	pazienAllarmato
Desidero visualizzare le mie letture dell’ultimo mese.	richiestaStatsGener
Ho paura che la mia ipertensione possa peggiorare.	pazienAllarmato
Qual è il miglior modo per effettuare una corretta misurazione delle pressione?	spiegazioni
ho iniziato a fare stretching regolare per aiutare a gestire lo stress.	inserDatiGener
Desidero consultare le mie letture del battito cardiaco dell’ultima settimana.	richiestaStatsFreq
a presto, assistente! sono pronto per un altro giorno di successi nella gestione della mia ipertensione.	saluti
La mia pressione sanguigna è 130/80 e il mio battito cardiaco è 70.	inserDatiTot
Ho qualche misura di pressione alta ogni tanto, ma immagino sia normale	pazienteSereno
la mia frequenza cardiaca è 68 battiti al minuto.	inserDatiFreq
la mia frequenza cardiaca è 72 battiti al minuto.	inserDatiFreq
Come l’asma può influenzare la mia vita quotidiana?	fuoriContMed
Vorrei vedere le letture della pressione che ho registrato nell’ultimo mese.	richiestaStatsPress
come viene diagnosticato il cancro al seno?	fuoriContMed
Mi piacerebbe controllare tutte le letture della pressione che ho registrato.	richiestaStatsPress
Alla prossima, assistente! Non vedo l’ora di continuare a lavorare con te sulla mia ipertensione.	saluti
Arrivederci, assistente! Grazie per avermi aiutato a gestire la mia ipertensione oggi.	saluti
il mio battito cardiaco è 70 battiti al minuto.	inserDatiFreq
Sono un po’ preoccupato, la mia pressione sanguigna è stata instabile ultimamente.	pazienAllarmato
la mia pressione sanguigna è 135/85.	inserDatiPress
Ho appena fatto una lettura e la mia pressione sanguigna e frequenza cardiaca sono di 125/80 mmHg e 72 bpm.	inserDatiTot
Potresti mostrarmi le mie statistiche dell’ultima settimana?	richiestaStatsGener
Cosa causa l’ipertensione?	spiegazioni
Quali sono i rischi per la salute associati all’ipertensione?	spiegazioni
Faccio esercizio fisico regolarmente, almeno 30 minuti al giorno.	inserDatiGener
Come viene diagnosticato il cancro al seno?	fuoriContMed
Ho appena fatto una lettura e la mia pressione sanguigna è di 125/80 mmHg.	inserDatiPress
Desidero consultare le mie letture della pressione dell’ultima settimana.	richiestaStatsPress
La mia pressione sanguigna attuale è di 140/85 mmHg.	inserDatiPress
Mi piacerebbe controllare le ultime letture della frequenza cardiaca che ho registrato nell’ultimo mese.	richiestaStatsFreq
posso registrare i dati della mia frequenza cardiaca di quest’anno?	richiestaInsDati
Mi sento stanco tutto il tempo.	fuoriContMed
La mia pressione sanguigna è X/Y e la mia frequenza cardiaca è 68.	inserDatiTot
Oggi mi sento molto rilassato grazie. 	pazienteSereno
ho notato che la mia pressione sanguigna aumenta quando sono stressato.	inserDatiGener
sono molto rilassato riguardo alla mia ipertensione.	pazienteSereno
Come l’ipertensione può influenzare la mia vita quotidiana?	spiegazioni
Potresti mostrarmi le mie misurazioni della frequenza cardiaca dell’ultima settimana in un grafico?	richiestaStatsFreq
Ho notato un cambiamento nel mio appetito.	fuoriContMed
ho appena fatto un controllo, la mia pressione è 135/85.	inserDatiPress
Mi piacerebbe esaminare i dati registrati negli ultimi 7 giorni	richiestaStatsGener
Quali cambiamenti nello stile di vita posso fare per gestire l’ipertensione?	spiegazioni
la mia pressione sanguigna è 125/80.	inserDatiPress
ultima misurazione della pressione arteriosa	richiestaStatsPress
Potresti spiegarmi come l’ipertensione può influenzare la mia salute?	spiegazioni
ho paura che la mia ipertensione possa causare problemi di energia.	pazienAllarmato
Vorrei dare un’occhiata alle ultime letture della pressione che ho inserito.	richiestaStatsPress
il mio battito cardiaco è 75 battiti al minuto.	inserDatiFreq
Sto cercando di evitare cibi ad alto contenuto di grassi saturi per mantenere bassi i livelli di colesterolo.	inserDatiGener
La mia pressione sanguigna è 140/90 e il mio battito cardiaco è 75.	inserDatiTot
sono molto calmo riguardo alla mia ipertensione.	pazienteSereno
ciao, assistente! sono pronto per un altro giorno di monitoraggio della mia ipertensione.	saluti
Mostrami la frequenza nell'ultima settimana	richiestaStatsFreq
hai mai visitato il colosseo?	fuoriCont
Qual è il tuo genere di film preferito?	fuoriCont
Non ho ansia per la mia pressione alta.	pazienteSereno
Vorrei dare un’occhiata alle ultime letture della pressione che ho inserito nell’ultimo mese.	richiestaStatsPress
la mia pressione sanguigna è 140/90 e il mio battito cardiaco è 75.	inserDatiTot
la mia pressione sanguigna è 135/85 e la mia frequenza cardiaca è 72.	inserDatiTot
Come posso prevenire l’ipertensione?	spiegazioni
Mi piacerebbe controllare le ultime letture del battito cardiaco che ho registrato nell’ultima settimana.	richiestaStatsFreq
hai mai visitato la torre eiffel?	fuoriCont
Posso inserire i dati della mia pressione sanguigna di ieri?	richiestaInsDati
il mio battito cardiaco è 70 battiti al minuto.	inserDatiFreq
Mio figlio ha la febbre	fuoriContMed
la mia pressione sanguigna è 130/80 e il mio battito cardiaco è 70.	inserDatiTot
Ho iniziato a seguire una dieta a basso contenuto di sale per aiutare a controllare la mia pressione sanguigna.	inserDatiGener
Ho avuto un episodio di sudorazione eccessiva la scorsa notte.	inserDatiGener
La mia pressione sanguigna è 140/90.	inserDatiPress
Vorrei vedere le misurazioni che ho registrato nell’ultimo mese.	richiestaStatsGener
non ho paura della mia pressione alta.	pazienteSereno
Bevo alcol solo con moderazione per evitare picchi di pressione sanguigna.	inserDatiGener
Qual è la tua città preferita in Italia?	fuoriCont
Mi piacerebbe controllare le ultime letture della pressione che ho registrato nell’ultima settimana.	richiestaStatsPress
Ho appena controllato e la mia pressione sanguigna è di 130/75 mmHg.	inserDatiPress
vorrei inserire i dati del mio monitoraggio della pressione sanguigna di questa settimana.	richiestaInsDati
non ho paura della mia ipertensione.	pazienteSereno
La mia pressione sanguigna è 135/85.	inserDatiPress
Ho letto un libro	fuoriCont
Ho appena finito di fare una lunga passeggiata, è stata rilassante.	fuoriCont
Il mio battito cardiaco è 80 battiti al minuto.	inserDatiFreq
Ho iniziato a prendere un nuovo farmaco per l’ipertensione.	inserDatiGener
Qual è il tuo compositore classico preferito?	fuoriCont
Potrei controllare le ultime misurazioni della frequenza cardiaca che ho registrato negli ultimi sette giorni?	richiestaStatsFreq
Buonanotte, assistente! Grazie per avermi aiutato a capire meglio la mia ipertensione.	saluti
la mia frequenza cardiaca attuale è 68 battiti al minuto.	inserDatiFreq
Ho un forte mal di testa, cosa posso fare?	fuoriContMed
quale è la tua città preferita in italia?	fuoriCont
hai mai provato a fare arrampicata?	fuoriCont
sono molto ansioso per i miei livelli di pressione sanguigna.	pazienAllarmato
quali sono i sintomi della depressione?	fuoriContMed
Desidero visualizzare tutti i miei dati sulla pressione.	richiestaStatsPress
Dammi le mie misurazioni sulla pressione dell’ultima settimana?	richiestaStatsPress
Il mio amico sta male	fuoriContMed
Riporta le misurazioni della pressione arteriosa dell’ultima settimana graficamente	richiestaStatsPress
posso registrare i dati della mia frequenza cardiaca di questo mese?	richiestaInsDati
Ho avuto dolori muscolari.	fuoriContMed
Ho iniziato a fare stretching regolare per aiutare a gestire lo stress.	inserDatiGener
La mia pressione sanguigna è 130/80 e il mio battito cardiaco è 72.	inserDatiTot
Potresti mostrarmi le mie misurazioni della frequenza cardiaca dell’ultimo mese?	richiestaStatsFreq
La mia pressione sanguigna è 125/80.	inserDatiPress
Posso registrare i dati della mia frequenza cardiaca di quest’anno?	richiestaInsDati
Vorrei dare un’occhiata all’ultima lettura della frequenza cardiaca che ho inserito.	richiestaStatsFreq
ciao, assistente! sono pronto per un altro giorno di gestione della mia ipertensione.	saluti
L'ipertensione ha conseguenze sui polmoni?	spiegazioni
posso aggiungere i dati della mia pressione sanguigna del prossimo anno?	richiestaInsDati
La mia pressione sanguigna oggi è X/Y e la mia frequenza cardiaca è Z bpm.	inserDatiTot
Qual è il tuo sport preferito?	fuoriCont
La mia pressione sanguigna è 125/80.	inserDatiPress
Ho avuto un episodio di vertigini questa mattina.	inserDatiGener
ho paura che la mia pressione alta possa causare problemi di umore.	pazienAllarmato
ho paura che la mia ipertensione possa causare problemi di concentrazione.	pazienAllarmato
Come posso prevenire le malattie cardiache?	fuoriContMed
Rappresenta le misurazioni della pressione arteriosa dell’ultimo mese con un immagine	richiestaStatsPress
quali sono le opzioni di trattamento farmacologico per l’ansia?	fuoriContMed
Quali sono i sintomi dell’ipertensione?	spiegazioni
ho paura che la mia ipertensione possa causare problemi di memoria.	pazienAllarmato
Mi piacerebbe controllare i dati registrati nell’ultimo mese.	richiestaStatsGener
Dammi le mie misurazioni della pressione sanguigna dell’ultimo mese in un grafico	richiestaStatsPress
ho iniziato una nuova dieta ricca di frutta e verdura.	inserDatiGener
Vorrei tracciare le mie recenti misurazioni della pressione arteriosa.	richiestaInsDati
Mi sento molto tranquillo riguardo alla mia pressione alta.	pazienteSereno
Posso aggiungere i dati della mia pressione sanguigna di questa mattina?	richiestaInsDati
Ho avuto un raffreddore che non sembra migliorare.	fuoriContMed
Misurando ho ottenuto una pressione sanguigna di X/Y e la frequenza cardiaca di 72.	inserDatiTot
Mi sento bene e infatti le misurazioni lo confermano	pazienteSereno
la mia pressione sanguigna è 140/90.	inserDatiPress
Una volta a settimana mangio la pizza	fuoriCont
La mia pressione sanguigna è 140/90.	inserDatiPress
quali sono i fattori di rischio per l’ipertensione?	spiegazioni
la mia pressione sanguigna è 125/80.	inserDatiPress
la mia pressione sanguigna è 140/90.	inserDatiPress
la mia pressione sanguigna è 130/80 e il mio battito cardiaco è 70.	inserDatiTot
Hai mai visitato il Colosseo?	fuoriCont
ho avuto un attacco di panico ieri sera.	inserDatiGener
Sono un fumatore	inserDatiGener
Dammi i dati dell'ultimo mese 	richiestaStatsGener
la mia pressione sanguigna è 135/85 e la mia frequenza cardiaca è 72.	inserDatiTot
posso registrare i dati della mia frequenza cardiaca di ieri?	richiestaInsDati
Potresti mostrarmi tutte le mie misurazioni della pressione?	richiestaStatsPress
a presto, assistente! sono pronto per un altro giorno di successi nella gestione della mia ipertensione.	saluti
Ho avuto problemi di vista.	fuoriContMed
Mostrami le statistiche	richiestaStatsGener
hai mai pensato di fare un viaggio in mongolfiera?	fuoriCont
sono molto pacifico riguardo alla mia pressione alta.	pazienteSereno
Ho seguito il tuo consiglio e mi sento molto meglio, la mia pressione sanguigna è migliorata.	pazienteSereno
Quali sono i rischi per la salute associati all’obesità?	fuoriContMed
Ho appena misurato la mia pressione, è 130/85.	inserDatiPress
vorrei aggiornare i miei dati sulla pressione sanguigna.	richiestaInsDati
ho smesso di fumare da un mese.	inserDatiGener
La mia pressione sanguigna è di 125/75 mmHg, secondo l’ultima misurazione.	inserDatiPress
Qual è il tuo piatto italiano preferito?	fuoriCont
posso inserire i dati della mia pressione sanguigna del prossimo mese?	richiestaInsDati
Il mio battito cardiaco è 70 battiti al minuto.	inserDatiFreq
Potrei controllare tutte le misurazioni della pressione che ho registrato?	richiestaStatsPress
buongiorno, assistente! spero che tu sia carico di energia per aiutarmi con la mia ipertensione oggi.	saluti
Ho registrato un valore di pressione sanguigna e frequenza cardiaca di 140/90 mmHg e 75 bpm oggi.	inserDatiTot
